carbon_emissions,board_diversity,revenue,waste_output,esg_score_category
120,35,5000000,45,High
220,20,2000000,100,Low
150,30,3000000,60,Medium
100,40,7000000,30,High
180,25,2500000,80,Medium
130,33,4500000,55,High
210,22,1800000,95,Low
160,28,3200000,65,Medium
110,38,6200000,40,High
190,24,2400000,90,Medium
125,36,4800000,50,High
215,21,1700000,98,Low
155,29,3100000,70,Medium
95,42,7500000,25,High
185,26,2600000,85,Medium
140,32,4300000,58,High
205,23,1900000,92,Low
165,27,3000000,68,Medium
105,39,6400000,35,High
195,22,2300000,88,Medium
